,0
0,"chance the rapper, jeremih"
1,jeezy
2,g-eazy
3,shy glizzy
4,charli xcx
5,the body
6,eminem
7,superpitcher
8,n.e.r.d.
9,"tom rogerson, brian eno"
10,rage against the machine
11,wyclef jean
12,brockhampton
13,fela kuti
14,"tee grizzley, lil durk"
15,ahnnu
16,jim james
17,total control
18,mike dunn
19,roy wood$
20,"big sean, metro boomin"
21,statik selektah
22,g perico
23,makaya mccraven
24,"thurston moore, charles hayward"
25,lil baby
26,palta
27,chief keef
28,chris stapleton
29,"ceramic tl, ipek gorgun"
30,mariah carey
31,visible cloaks
32,hypnotic brass ensemble 
33,belle and sebastian
34,pender street steppers
35,k. michelle
36,loke rahbek & frederik valentin
37,weird al yankovic
38,mick jenkins
39,morbid angel
40,pnb rock
41,wilco
42,hopsin
43,glassjaw
44,nabihah iqbal
45,"neil young, promise of the real"
46,minnie riperton
47,sia
48,zaytoven
49,u2
50,godflesh
51,blackbear
52,expander
53,lou reed
54,metallica
55,t-pain
56,"fabolous, jadakiss"
57,krallice
58,miguel
59,inxs
60,king gizzard & the lizard wizard
61,nxworries
62,equiknoxx  
63,prurient
64,lil wop
65,sufjan stevens
66,tove lo
67,sam gendel
68,terekke
69,noel gallagher's high flying birds
70,mach-hommy
71,haram
72,peter matthew bauer
73,bjrk
74,fits
75,cyhi the prynce 
76,ocs
77,bronski beat
78,talib kweli
79,sharon jones and the dap-kings
80,the fall
81,tim heidecker
82,cam'ron
83,morrissey
84,jaden smith
85,bill brewster
86,qasim naqvi
87,baths
88,bitchin bajas
89,young jesus
90,coupler
91,willie nelson
92,the 6ths
93,contributors
94,posse
95,petra glynt
96,charlotte gainsbourg
97,gord downie
98,silvia kastel
99,caracara
100,mavis staples
101,the body & full of hell
102,martin carr
103,why khaliq
104,wiz khalifa
105,hiroshi yoshimura
106,gun outfit
107,quicksand
108,r.e.m.
109,golden teacher
110,"slaughter beach, dog"
111,champion
112,taylor swift
113,kamaiyah
114,lee gamble
115,armand hammer
116,nico
117,yung lean
118,u-men
119,m.e.s.h.
120,bed wettin' bad boys
121,angel olsen
122,call super
123,pharoah sanders
124,rabit
125,sleigh bells
126,willow
127,kllo
128,curls
129,maroon 5
130,zazou/bikaye/cy1
131,peter oren
132,"james holden, the animal spirits"
133,sam smith
134,yaeji
135,sassy 009  
136,dj seinfeld
137,hsker d
138,"daniele luppi, parquet courts"
139,jonti
140,helena hauff
141,sarah mclachlan
142,bibio
143,bob dylan
144,gunn-truscinski duo
145,"alexis georgopoulos, jefre cantu-ledesma"
146,"21 savage, offset, metro boomin"
147,shamir
148,errorsmith 
149,trupa trupa
150,converge
151,grandaddy
152,yo gotti
153,visionist
154,ty dolla $ign
155,"kyle dixon, michael stein"
156,majid jordan
157,odonis odonis
158,misfits
159,danzig
160,fever ray
161,big k.r.i.t.
162,wild beasts
163,bell witch
164,margo price
165,yo la tengo
166,john maus
167,daphni
168,young dolph
169,brent faiyaz  
170,julien baker
171,nai palm
172,colleen
173,radiator hospital
174,weezer
175,george michael
176,honey dijon 
177,william patrick corgan
178,jackie shane
179,lindstrm
180,ccfx
181,"future, young thug"
182,bully
183,the front bottoms
184,exhumed
185,jessie ware
186,john carpenter
187,william eggleston
188,makthaverskan
189,a. savage
190,the smiths
191,wu-tang
192,juju & jordash
193,christian scott atunde adjuah
194,nazoranai
195,destroyer
196,circuit des yeux
197,the jam
198,g herbo
199,gucci mane
200,tegan and sara
201,d.k. / s.k.
202,citizen
203,dvsn
204,giggs
205,byron westbrook
206,youngboy never broke again
207,beck
208,stars
209,abra
210,tokimonsta
211,st. vincent
212,trippie redd
213,king khan
214,sun ra and his arkestra
215,"brian eno, john cale"
216,cults
217,levon vincent
218,richard horowitz
219,nhk yx koyxen
220,king krule
221,weaves
222,fatima al qadiri
223,melkbelly
224,"courtney barnett, kurt vile"
225,the darkness
226,blue hawaii
227,lil pump
228,wolf parade
229,torres
230,marilyn manson
231,smokepurpp
232,"tom petty, the heartbreakers"
233,tom petty
234,the replacements
235,the weather station
236,kele okereke
237,alex lahey
238,special request
239,common
240,standing on the corner
241,ccile mclorin salvant
242,zir
243,kelela
244,kaitlyn aurelia smith
245,deradoorian
246,liam gallagher
247,a boogie wit da hoodie
248,jhen aiko
249,omni
250,ibeyi
251,demi lovato
252,iglooghost
253,jon hassell
254,four tet
255,chelsea wolfe
256,galcher lustwerk
257,acephalix
258,the world is a beautiful place & i am no longer afraid to die
259,wolf alice
260,protomartyr
261,florist
262,klein
263,dj jazzy jeff & the fresh prince
264,shania twain
265,lone
266,god mother
267,"valee, chasethemoney"
268,miley cyrus
269,ben frost
270,amadou & mariam
271,knox fortune
272,kamasi washington
273,kevin gates
274,lrain
275,chain and the gang
276,moses sumney
277,the horrors
278,van morrison
279,wand
280,macklemore
281,"young thug, carnage"
282,wolves in the throne room
283,laraaji
284,mastodon
285,midland
286,dj python 
287,isaac hayes
288,shannon lay 
289,elastica
290,the rolling stones
291,metz
292,phoebe bridgers
293,yves tumor
294,the killers
295,the clientele
296,linda perhacs
297,acetone
298,godspeed you! black emperor
299,hiss golden messenger
300,the blow
301,koran streets
302,cut copy
303,tricky
304,chad vangaalen
305,lee ranaldo
306,prophets of rage
307,open mike eagle
308,corbin
309,hope sandoval & the warm inventions
310,foo fighters
311,buy muy drugs
312,marius
313,nosaj thing
314,deftones
315,rostam
316,the necessaries
317,geinoh yamashirogumi
318,roscoe mitchell
319,galantis
320,ariel pink
321,angelo badalamenti
322,michael mcdonald
323,shenandoah davis
324,hundred waters
325,deer tick
326,big|brave
327,tony humphries
328,tori amos
329,lunice
330,greg fox
331,sparks
332,neil young
333,princess nokia
334,odesza
335,partner
336,mount kimbie
337,ted leo
338,death from above
339,lomelda
340,pierre kwenders
341,king crimson
342,the dream syndicate
343,alex cameron
344,the waterboys
345,the national
346,fifth harmony
347,deerhoof
348,maximum joy
349,alvvays
350,the pains of being pure at heart
351,kedr livanskiy
352,d33j
353,zola jesus
354,david rawlings
355,tony allen
356,mogwai
357,hercules and love affair
358,superchunk
359,harry nilsson
360,nelly
361,the verve
362,a giant dog
363,martin glass
364,greet death
365,lcd soundsystem
366,deem spencer
367,nadine shah
368,tera melos
369,xxxtentacion
370,a$ap mob
371,"king gizzard & the lizard wizard, mild high club"
372,liza minnelli
373,lil uzi vert
374,wiki
375,hype williams
376,bicep
377,action bronson
378,kodak black
379,alex chilton
380,queens of the stone age
381,liars
382,dave east
383,underworld
384,joe bataan
385,dangelo
386,filthy friends
387,daniel caesar
388,b12
389,the war on drugs
390,ema
391,turnover
392,joseph shabason
393,lil b
394,iron & wine
395,sannhet
396,vijay iyer sextet
397,brand new
398,rainer maria
399,oh sees
400,maya jane coles
401,alice glass
402,khalil
403,tobacco
404,a$ap ferg
405,cloakroom
406,mozzy
407,tears for fears
408,link wray
409,samantha urbani
410,blondes
411,trailer trash tracys
412,grizzly bear
413,everything everything
414,dent may
415,inc. no world
416,lil peep
417,the cars
418,myke bogan
419,bosco
420,madonna
421,dean hurley
422,tyshawn sorey
423,tall friend
424,oneohtrix point never
425,aesop rock
426,amy o
427,house of feelings
428,fiona apple
429,a$ap twelvyy
430,the yawpers
431,dale crover
432,the districts
433,kesha
434,guided by voices
435,lal & mike waterson
436,photay 
437,frankie rose
438,nadia sirota
439,katie von schleicher
440,milo
441,downtown boys
442,naomi punk
443,stas thee boss
444,ty segall
445,flash trading
446,wifisfuneral
447,moon king
448,randy newman
449,konx-om-pax
450,caroline says
451,manchester orchestra
452,sparklehorse
453,badbadnotgood
454,dead cross
455,soccer mommy
456,sote
457,julia michaels
458,briana marela
459,joywave
460,brian eno
461,people like you
462,couch slut
463,tchornobog
464,romeo santos
465,"nav, metro boomin"
466,"joe henderson, alice coltrane"
467,mhysa
468,amin
469,wizkid
470,declan mckenna
471,vic mensa
472,ross from friends
473,pan daijing
474,denitia
475,silver jews
476,sontag shogun
477,sudan archives
478,dj bone
479,arcade fire
480,suicideyear
481,"jeremy greenspan, taraval"
482,golden retriever
483,meek mill
484,snail mail
485,pickwick
486,lory d
487,nine inch nails
488,gal costa
489,this is the kit
490,quindar
491,lana del rey
492,avey tare
493,bedouine
494,jana rush
495,foster the people
496,the beacon sound choir
497,us and us only
498,stereolab
499,ramones
500,psychic tv
501,lo tom
502,"bjrn torske, prins thomas"
503,"tyler, the creator"
504,dizzee rascal
505,burnt friedman
506,patricia
507,cornelius
508,terrace martin presents the pollyseeds
509,cousin stizz
510,holy shit
511,french montana
512,sqrl
513,jean-jacques perrey
514,art feynman
515,japanese breakfast
516,mura masa
517,coca leaf
518,claude speeed
519,coldplay
520,dasher
521,mr jukes
522,mike cooper
523,sw.
524,guns n' roses
525,shabazz palaces
526,sheer mag
527,yoko ono
528,integrity
529,waxahatchee
530,moon diagrams
531,dj shadow
532,boris
533,21 savage
534,public enemy
535,ex eye
536,great grandpa
537,toro y moi
538,chronixx
539,ndia
540,broken social scene
541,kacy hill
542,brightness
543,heaven in her arms
544,sau poler
545,dj khaled
546,porter ricks
547,pep llopis
548,conway
549,haim
550,calvin harris
551,baio
552,portugal. the man
553,beach house
554,tlc
555,james elkington
556,steffi
557,jay-z
558,clams casino
559,lapalux
560,guerilla toss
