,0
0,"Chance The Rapper, Jeremih"
1,The Body
2,Superpitcher
3,N.E.R.D.
4,"Tom Rogerson, Brian Eno"
5,Various Artists
6,Wyclef Jean
7,Fela Kuti
8,"Tee Grizzley, Lil Durk"
9,Jim James
10,Total Control
11,Roy Wood$
12,"Big Sean, Metro Boomin"
13,"Thurston Moore, Charles Hayward"
14,"Ceramic Tl, Ipek Gorgun"
15,Hypnotic Brass Ensemble 
16,Belle And Sebastian
17,Pender Street Steppers
18,Loke Rahbek & Frederik Valentin
19,Weird Al Yankovic
20,Mick Jenkins
21,Wilco
22,"Neil Young, Promise Of The Real"
23,Sia
24,Zaytoven
25,U2
26,Metallica
27,"Fabolous, Jadakiss"
28,Krallice
29,Inxs
30,Equiknoxx  
31,Tove Lo
32,Terekke
33,Mach-Hommy
34,Haram
35,Bjrk
36,Fits
37,Cyhi The Prynce 
38,The Fall
39,Tim Heidecker
40,Bill Brewster
41,Bitchin Bajas
42,Young Jesus
43,Willie Nelson
44,Contributors
45,Silvia Kastel
46,The Body & Full Of Hell
47,Hiroshi Yoshimura
48,Champion
49,Nico
50,Rabit
51,Curls
52,Maroon 5
53,Zazou/Bikaye/Cy1
54,"James Holden, The Animal Spirits"
55,Sam Smith
56,Sassy 009  
57,Hsker D
58,"Daniele Luppi, Parquet Courts"
59,Helena Hauff
60,Bob Dylan
61,"Alexis Georgopoulos, Jefre Cantu-Ledesma"
62,"21 Savage, Offset, Metro Boomin"
63,Errorsmith 
64,Trupa Trupa
65,"Kyle Dixon, Michael Stein"
66,Wild Beasts
67,Brent Faiyaz  
68,George Michael
69,Honey Dijon 
70,William Patrick Corgan
71,Lindstrm
72,"Future, Young Thug"
73,Makthaverskan
74,Circuit Des Yeux
75,The Jam
76,Tegan And Sara
77,D.K. / S.K.
78,Citizen
79,Abra
80,Tokimonsta
81,King Khan
82,Sun Ra And His Arkestra
83,"Brian Eno, John Cale"
84,Levon Vincent
85,Richard Horowitz
86,"Courtney Barnett, Kurt Vile"
87,The Darkness
88,Torres
89,"Tom Petty, The Heartbreakers"
90,Ccile Mclorin Salvant
91,Zir
92,Liam Gallagher
93,Jhen Aiko
94,Omni
95,Iglooghost
96,Jon Hassell
97,Galcher Lustwerk
98,Wolf Alice
99,Shania Twain
100,Lone
101,"Valee, Chasethemoney"
102,Kamasi Washington
103,Lrain
104,Wand
105,"Young Thug, Carnage"
106,Laraaji
107,Mastodon
108,Midland
109,Dj Python 
110,Shannon Lay 
111,The Rolling Stones
112,Yves Tumor
113,The Killers
114,The Blow
115,Hope Sandoval & The Warm Inventions
116,Foo Fighters
117,Marius
118,Deftones
119,The Necessaries
120,Geinoh Yamashirogumi
121,Angelo Badalamenti
122,Tony Humphries
123,Death From Above
124,King Crimson
125,Maximum Joy
126,Harry Nilsson
127,The Verve
128,Deem Spencer
129,"King Gizzard & The Lizard Wizard, Mild High Club"
130,Dave East
131,Underworld
132,Dangelo
133,B12
134,Ema
135,Lil B
136,Brand New
137,Alice Glass
138,Khalil
139,Tobacco
140,Tears For Fears
141,Grizzly Bear
142,Inc. No World
143,Bosco
144,Madonna
145,Dean Hurley
146,Tyshawn Sorey
147,Oneohtrix Point Never
148,House Of Feelings
149,Lal & Mike Waterson
150,Photay 
151,Nadia Sirota
152,Ty Segall
153,Flash Trading
154,Moon King
155,Konx-Om-Pax
156,Badbadnotgood
157,Ben Frost
158,Julia Michaels
159,Tchornobog
160,"Nav, Metro Boomin"
161,"Joe Henderson, Alice Coltrane"
162,Amin
163,Wizkid
164,Ross From Friends
165,Silver Jews
166,Dj Bone
167,Suicideyear
168,"Jeremy Greenspan, Taraval"
169,Golden Retriever
170,Meek Mill
171,Snail Mail
172,Nine Inch Nails
173,Gal Costa
174,Lana Del Rey
175,Daphni
176,Ramones
177,"Bjrn Torske, Prins Thomas"
178,Burnt Friedman
179,Terrace Martin Presents The Pollyseeds
180,Holy Shit
181,Sqrl
182,Jean-Jacques Perrey
183,Coldplay
184,Sw.
185,Dj Shadow
186,Public Enemy
187,Great Grandpa
188,Ndia
189,Sau Poler
190,Conway
191,Haim
192,Calvin Harris
193,Tlc
194,Steffi
195,Jay-Z
196,Clams Casino
197,Mike
198,David Bowie
199,Mc Eiht
200,Cybe
201,The Monks
202,"Prince, The Revolution"
203,Zz Top
204,"Keith Rowe, Michael Pisaro"
205,"Amir Elsaffar, Rivers Of Sound"
206,H.E.R.
207,Palm
208,Young Thug
209,Camille
210,Ride
211,Can
212,Glen Campbell
213,Lorde
214,Rancid
215,Katy Perry
216,Tops
217,Sza
218,"Sufjan Stevens, Nico Muhly, Bryce Dessner, James Mcalister"
219,Sahbabii
220,"Lindsey Buckingham, Christine Mcvie"
221,Murlo
222,Royal Trux
223,Jimi Tents
224,King Tubby & The Aggrovators
225,Major Lazer
226,Chain And The Gang
227,Ghostface Killah
228,Tony Conrad
229,Kettenkarussell
230,Marika Hackman
231,Elysia Crampton
232,Ricardo Villalobos
233,Swet Shop Boys
234,Jaco Pastorius
235,"Mary Lattimore, Elysse Thebner Miller"
236,"T-Pain, Lil Wayne"
237,Everything Is Recorded
238,Wavves
239,Helium
240,!!!
241,Khotin
242,"Faith Evans, The Notorious B.I.G."
243,Vatican Shadow
244,Hanna
245,Wale
246,Heather Trost
247,Michael Mayer
248,Mc Bin Laden
249,"Jonny Nash, Suzanne Kraft"
250,Spencer Radcliffe & Everyone Else
251,Endlings
252,Nick Cave & The Bad Seeds
253,Brother Ali
254,Animal Collective
255,Alice Coltrane
256,Croatian Amor
257,At The Drive In
258,Bonnie Prince Billy
259,Green Day
260,Grateful Dead
261,Kweku Collins
262,Cabo Boing
263,Mac Demarco
264,Pond
265,Priests
266,Kara-Lis Coverdale
267,Bnqt
268,Wall
269,Anamai
270,Jmsn
271,Swans
272,The New Year
273,Luc Ferrari
274,Mew
275,Tara Jane Oneil
276,Valgeir Sigursson
277,Portishead
278,Meredith Monk
279,Rich Homie Quan
280,Gas
281,The Blaze
282,Shamir
283,Ray Davies
284,Thelonious Monk
285,Joe Goddard
286,"Vicky Chow, Michael Gordon"
287,Dj Seinfeld
288,Section Boyz
289,Overmono
290,Varg
291,Sade
292,Davy Kehoe
293,"Joshua Abrams, Natural Information Society"
294,Milk Music
295,Wire
296,Ahmad Jamal
297,Liquid Liquid
298,Boss Hog
299,Arthur Russell
300,Yaeji
301,"Starlito, Don Trip"
302,Paul Mccartney
303,Diamanda Gals
304,Sneaks
305,Glenn Gould
306,"Chilly Gonzales, Jarvis Cocker"
307,The Courtneys
308,Octo Octa
309,The Fun Years
310,Sorority Noise
311,Porter Ray
312,Drake
313,The Bug Vs Earth
314,Giusto Pio
315,Real Estate
316,Laetitia Sadier Source Ensemble
317,Miles Okazaki
318,Soundgarden
319,Adult.
320,Depeche Mode
321,The Creation
322,Anohni
323,Grid
324,Daym Arocena
325,"Jean-Michel Blais, Cfcf"
326,Buzzcocks
327,Midori Takada
328,Fleetwood Mac
329,Jos James
330,Ed Sheeran
331,Steve Lacy
332,"John Carpenter, Ennio Morricone"
333,The Notorious B.I.G.
334,Puff Daddy & The Family
335,Elliott Smith
336,Why?
337,Erasmo Carlos
338,Dmx
339,Six Organs Of Admittance
340,Flume
341,Weezer
342,Sir
343,Call Super
344,"Fat Joe, Remy Ma"
345,Fatima Yamaha
346,Amnesia Scanner
347,Neil Young
348,Young Marco
349,Paul White [Ft. Danny Brown]
350,Maggie Rogers
351,Ryan Adams
352,Lupe Fiasco
353,Ornette Coleman
354,The Other People Place
355,Jim Orourke
356,Differ-Ent
357,Big Sean
358,Elbow
359,Syd
360,Matthew Shipp Trio
361,Ramzi
362,"M. Lamar, Hunter Hunt-Hendrix"
363,"Neill Von Tally, The Last Artful, Dodgr"
364,K. Leimer
365,Sleater-Kinney
366,Strawberry Switchblade
367,Banana
368,Urochromes
369,Wiley
370,Los Lichis
371,Kehlani
372,Cep
373,Max Richter
374,Egyptrixx
375,"Ariel Pink, Weyes Blood"
376,Pinegrove
377,P.O.S
378,Jefe
379,Matthew Dear
380,Of Montreal
381,Trouble
382,Richard Pinhas
383,Trey Songz
384,Bell Biv Devoe
385,Stefflon Don
386,Naaahhh
387,"Shackleton, Vengeance Tenfold"
388,Gabriel Garzn-Montano
389,The Flaming Lips
390,"Kid Koala, Emiliana Torrini"
391,Shintaro Sakamoto
392,Sheer Mag
393,Joan Of Arc
394,X-Ray Spex
395,Funkadelic
396,Chief Keef
397,Tory Lanez
398,"Suicideyear, Outthepound"
399,Afi
400,A Winged Victory For The Sullen
401,9T Antiope
402,Kool A.D.
403,Superfcie
404,"Anthony Braxton, Miya Masaoka"
405,Chavez
406,"Kleenex, Liliput"
407,Yotam Avni
408,The Lox
409,Yasiin Bey
410,"Smoke Dza, Pete Rock"
411,Senyawa
412,The-Dream
413,Elder Ones
414,The Microphones
415,Ray Charles
416,Mica Levi
417,Jeff Parker
418,Adr
419,"Ricardo Villalobos, Umho"
420,Peder Mannerfelt
421,J. Cole
422,Pink Floyd
423,Gaye Su Akyol
424,Saba
425,Kodie Shane
426,The Orchestra Of Syrian Musicians
427,Kjartan Sveinsson
428,"Gucci Mane, Lil Uzi Vert"
429,Young Male
430,Fetty Wap
431,Coldcut
432,"Joan As Police Woman, Benjamin Lazar Davis"
433,Sun Ra
434,Dungen
435,"Mica Levi, Oliver Coates"
436,Jay Daniel
437,Burial
438,Yg
439,"Steve Reich, Terry Riley"
440,Bully Fae
441,Kate Bush
442,E-40
443,Ice Cube
444,"Oneida, Rhys Chatham"
445,Vicky Chow
446,"Gucci Mane, Future"
447,Porter Ricks
448,Mike Watt
449,Flasher
450,Papa M
451,Yaroze Dream Suite
452,Lorenzo Senni
453,Mantra Percussion
454,French Montana
455,Emeli Sand
456,Ken Thomson
457,Philip Glass
458,Bibi Bourelly
459,"Okkyung Lee, Christian Marclay"
460,The Men
461,Hudson Mohawke
462,Rachel'S
463,Uniform
464,The Chainsmokers
465,Mary Halvorson
466,A$Ap Mob
467,Abba
468,"Sun Ra, Merzbow"
469,The Dean Ween Group
470,Rich The Kid
471,Pussy Riot
472,Huerco S.
473,Otis Redding
474,Miles Davis Quintet
475,Roman Flgel
476,Syrinx
477,"Patrick Cowley, Candida Royalle"
478,Dram
479,Luis
480,Jojo
481,Sleaford Mods
482,Jonathan Finlayson & Sicilian Defense
483,Axis: Sova
484,Kag
485,Gods Wisdom
486,Boogie
487,Powell
488,Wife
489,Mono
490,Wadada Leo Smith
491,Randy Newman
492,Purling Hiss
493,Johnny Jewel
494,Pat Thomas
495,Dva [Hi:Emotions]
496,Goat
497,Mv & Ee
498,Janet Jackson
499,Dj Mustard
500,The Caretaker
501,Jack Rose
502,Lusa Maita
503,Darcy James Argue'S Secret Society
504,"Masayoshi Fujita, Jan Jelinek"
505,S U R V I V E
506,Steve Reich
507,Carl Stone
508,Thomas Brinkmann
509,Blonde Redhead
510,Machinedrum
511,Pallbearer
512,Kool Keith
513,Julius Eastman
514,"Bryce Dessner, Aaron Dessner"
515,"Dj Fresh, Ezale"
516,Touch Amor
517,"Matthew Shipp, Bobby Kapp"
518,"Kaitlyn Aurelia Smith, Suzanne Ciani"
519,Fudge
520,Tim Presley
521,Manuel Gttsching
522,M.I.A.
523,Jhann Jhannsson
524,Jack White
525,Vox Clamantis
526,Caetano Veloso
527,P.S. Eliot
528,Carly Rae Jepsen
529,Circle
530,Terry Riley
531,De La Soul
532,Nots
533,D.A.R.K.
534,Junior Boys
535,Prince
536,"Soundwalk Collective, Patti Smith, Jesse Paris Smith"
537,Prophets Of Rage
538,Porches
539,"Gucci Mane, Zaytoven"
540,The Roots
541,Kornl Kovcs
542,Feral
543,Battle Trance
544,Charlotte Day Wilson
545,Tokyo Black Star
546,Sharon Jones And The Dap-Kings
547,Tree
548,Scott Walker
549,"Steve Lehman, Slbyone"
550,Ka
551,"Atticus Ross, Leopold Ross, Bobby Krlic"
552,Dj Earl
553,Lexxi
554,Pill
555,Mal Devisa
556,Slow Club
557,Pj Harvey
558,2 Chainz
559,Ryley Walker
560,The 7Th Plain
561,Dj Snake
562,M. Geddes Gengras
563,Zhu
564,Cluster Ensemble
565,Michael Jackson
566,"Delia Derbyshire, Elsa Stansfield"
567,Descendents
568,Thunder Tillman
569,Nao
570,Steve Aoki
571,Owen
572,Titus Andronicus
573,Meshuggah
574,"Mary Lattimore, Jeff Zeigler"
575,Red Hot Chili Peppers
576,No Joy
577,Elza Soares
578,Stwo
579,"Blu, Nottz"
580,Notekillers
581,"21 Savage, Metro Boomin"
582,Pauline Oliveros
583,Max Romeo
584,Mstrkrft
585,Pylon
586,Wolfgang Tillmans
587,Shackleton
588,Migos
589,Betty Davis
590,Jackmaster
591,Darkstar
592,Arca
593,John Roberts
594,Maxwell
595,Kelsey Lu
596,Risn Murphy
597,Gggs
598,Scharpling & Wurster
599,"Nils Frahm, Woodkid"
600,Aphex Twin
601,The Game
602,Hot Hot Heat
603,Magic!
604,Egisto Macchi
605,Sunpath
606,"Future, Dj Esco"
607,"Jim Orourke, Fennesz"
608,Bruce Springsteen
609,"Blut Aus Nord, Vangelist"
610,Bjarki
611,Suicide
612,"John Cage, Sun Ra"
